"sec4dig" "carb_int" "trade_int" "n_install" "emp" "co2" "firm_sec"
"1" 1721 1.2342404127121 58.3265953063965 0.583333313465118 409.5 3166.04150390625 0.5
"2" 1725 2.46574735641479 58.390022277832 0.416666656732559 292.5 2261.45825195312 0.5
"3" 2112 10.1335687637329 25.5385303497314 1 789.25 26136 1
"4" 2640 9.53741931915283 2.71032118797302 1 10 2087 1
"5" 1532 1.23696279525757 18.9723072052002 0.625 377.8125 7625.625 0.5
"6" 1533 0.820473909378052 21.6862659454346 0.375 226.6875 4575.375 0.5
"7" 2640 9.80345344543457 2.58355593681335 1 10.6666669845581 4169 1
"8" 1730 1.43247950077057 1.51206767559052 1 NA 10144 1
"9" 1754 0.752631485462189 37.4178237915039 1 NA 5935.5 1
"10" 2640 9.67331981658936 2.83826422691345 1 30 8453.5 1
"11" 2613 7.36213874816895 24.2853164672852 2 425 46937 1
"12" 3663 1.04098153114319 60.4188385009766 1 195 16249.5 1
"13" 2811 2.4545373916626 8.61375617980957 1 200 29908 1
"14" 2640 9.82479476928711 2.67960739135742 3 334.75 48524 1
"15" 2121 1.6612446308136 5.20182323455811 1 107.25 47237 1
"16" 2051 2.53674530982971 26.096342086792 1 109.5 10703.5 1
"17" 2640 9.74127101898193 2.63354253768921 1 35 12903 1
"18" 2615 2.49573993682861 49.0830192565918 1 171.25 6261.5 1
"19" 2123 2.58886218070984 9.4255952835083 1 550.25 215405 1
"20" 3410 0.546847283840179 28.9019050598145 2 7292.75 19547 1
"21" 2722 0.894680500030518 45.2540740966797 1 NA 33410.5 1
"22" 2121 1.60864496231079 5.18863582611084 1 392.75 32151 1
"23" 2640 9.94225597381592 2.79087448120117 1 31.25 5164.5 1
"24" 2125 0.6163170337677 13.6532745361328 1 1365.5 360220.5 1
"25" 2811 2.43290305137634 8.48880290985107 2 1141.66662597656 2888618.5 1
"26" 2722 1.00951087474823 45.085319519043 1 NA 10083 1
"27" 2613 7.03116464614868 24.3903274536133 1 5450 25573 1
"28" 2651 45.5530128479004 6.65450048446655 2 166.75 230111 1
"29" 2441 1.47569668292999 85.7369766235352 1 2687.5 71579 1
"30" 2051 2.44404625892639 25.9124183654785 3 1316 52569.5 1
"31" 2125 0.81327897310257 13.7204551696777 1 416.25 27089 1
"32" 2640 9.68241119384766 2.80199885368347 1 18 2557 1
"33" 2640 9.72677612304688 2.84131383895874 1 17 4008 1
"34" 2640 9.72635078430176 2.70757794380188 1 11 3962.5 1
"35" 2414 5.57952117919922 46.1633720397949 0.75 236.25 231049 0.333333343267441
"36" 2112 9.98962116241455 25.4857482910156 0.75 236.25 231049 0.333333343267441
"37" 2464 1.42281031608582 65.8095092773438 1.5 472.5 462098 0.333333343267441
"38" 2470 4.23310613632202 32.6435165405273 1 5473 145665.5 1
"39" 2851 2.500412940979 0 4 6913.33349609375 8302092.5 1
"40" 2112 10.2014474868774 25.6873168945312 1 581.75 244143.5 1
"41" 1596 0.673694372177124 7.41571426391602 2 2145.25 8169 1
"42" 2430 2.35197138786316 20.8807945251465 0.857142865657806 63 46307.14453125 0.5
"43" 2464 1.30070722103119 65.5995407104492 0.142857149243355 10.5 7717.857421875 0.5
"44" 2112 10.2641105651855 25.7238292694092 1 280.25 37271.5 1
"45" 2640 9.76389312744141 2.54920411109924 1 80.25 19955.5 1
"46" 2640 9.81669902801514 2.69510793685913 1 8 1644.5 1
"47" 2415 70.2126922607422 27.2389717102051 1 NA 80997.5 1
"48" 2640 9.69754695892334 2.65943336486816 1 20.6666660308838 13572.5 1
"49" 2651 45.6947364807129 6.85761880874634 1 101 255718 1
"50" 3720 2.55779767036438 0 1 698.25 1923.5 1
"51" 2640 9.93659496307373 2.70095562934875 2 60 46098 1
"52" 3410 0.635976552963257 29.1075325012207 1 2788.75 14088.5 1
"53" 2651 45.3994750976562 6.8269510269165 1 160 391622 1
"54" 2640 9.82278156280518 2.73018980026245 1 30 9214.5 1
"55" 2112 10.2634201049805 25.6886367797852 1 565.25 2558 1
"56" 2112 10.2154216766357 25.6795482635498 1 66 4569.5 1
"57" 2111 2.31781554222107 46.1345596313477 1 363.75 81100.5 1
"58" 2441 1.33250725269318 85.8512268066406 1 928 28389 1
"59" 3162 0.51844847202301 44.8095397949219 1 22.3333339691162 17530.5 1
"60" 2640 9.75998878479004 2.7733747959137 1 17 20883 1
"61" 2613 7.29818248748779 24.1626510620117 1 130 2951.5 1
"62" 2052 2.60724711418152 36.5388336181641 4 886.25 66802 1
"63" 2651 45.5979423522949 6.74983167648315 3 465.5 764354.5 1
"64" 2640 9.7574462890625 2.71029376983643 1 34 7120.5 1
"65" 2524 0.729353249073029 20.0764026641846 1 659.25 17042 1
"66" 1583 5.43734359741211 19.505651473999 2.59500002861023 715.35498046875 132977.75 0.5
"67" 2413 12.042272567749 31.7473278045654 0.5 61 13450.5 0.5
"68" 2416 2.98293375968933 27.1648731231689 1 723.75 24988.5 1
"69" 2112 10.2247734069824 25.7876472473145 1 687 75126.5 1
"70" 2112 10.2199363708496 25.6574993133545 1 546.666687011719 34160.5 1
"71" 2112 10.0553779602051 25.7359161376953 2 8040.5 156341.5 1
"72" 2651 45.3643951416016 6.66040658950806 2 289.333343505859 1043518 1
"73" 2442 0.235378161072731 58.562427520752 1 145 4599 1
"74" 2640 9.6986665725708 2.69925141334534 9 265 99370.5 1
"75" 2413 11.9425964355469 31.8118667602539 1 270 164864 1
"76" 2470 4.33311700820923 32.6609001159668 1 183 63261.5 1
"77" 2112 10.3915681838989 25.4806346893311 1 46 0 1
"78" 2442 0.412415623664856 58.5486297607422 1 2685 840 1
"79" 2626 2.84575891494751 37.3613128662109 5 1680.66662597656 549403 1
"80" 1562 7.10042238235474 14.5611782073975 2 497 111865 1
"81" 2640 9.88834095001221 2.6827392578125 1 22.75 8859 1
"82" 2651 45.6230430603027 6.99972534179688 2 198.5 473122.5 1
"83" 2051 2.61727118492126 25.9568309783936 1 589.75 72453 1
"84" 2112 10.1036720275879 25.6601123809814 1 745 72854 1
"85" 2051 2.40497589111328 26.0698928833008 1 109 2705 1
"86" 2512 2.57444071769714 7.11562871932983 1 425 870 1
"87" 2112 10.2664470672607 25.7087802886963 1 1075 653 1
"88" 2640 9.72312068939209 2.79286098480225 1 20 1112 1
"89" 2414 5.37738132476807 46.3829002380371 1 165 923.5 1
"90" 2682 1.64573490619659 17.7946033477783 0.200000002980232 32.6000022888184 1749.40002441406 0.333333343267441
"91" 2640 9.64725399017334 2.72283267974854 0.333333343267441 54.3333358764648 2915.66674804688 0.333333343267441
"92" 2872 2.60238552093506 11.1016864776611 1 696 10995.5 1
"93" 2682 1.76672661304474 17.8715667724609 0.200000002980232 47.5 1871.70007324219 0.333333343267441
"94" 2640 9.69613170623779 2.63364958763123 0.333333343267441 79.1666717529297 3119.5 0.333333343267441
"95" 2613 7.10356092453003 24.4025745391846 2 640 126543 1
"96" 2664 2.45513677597046 2.04758501052856 1 61.6666679382324 46737.5 1
"97" 2651 45.3465919494629 6.98752498626709 2 313.333343505859 388160.5 1
"98" 2121 1.69433891773224 5.27060651779175 1 250 172884.5 1
"99" 2513 0.805066525936127 26.480863571167 1 462 35747 1
"100" 2123 2.43164801597595 9.40055274963379 2 929.666687011719 136580 1
"101" 2111 2.47575306892395 45.8904495239258 1 40.5 10089 1
"102" 2752 1.87594401836395 0 7 6842.5712890625 4761215.5 1
"103" 1725 2.4076030254364 58.2827262878418 1 522.25 6196 1
"104" 1751 0.828155279159546 31.2686729431152 1 446.75 8225 1
"105" 2414 5.3014965057373 46.3884124755859 1 169.75 12360.5 1
"106" 1513 0.825606167316437 3.17006635665894 1 25 11915.5 1
"107" 2112 10.2556114196777 25.8366622924805 2 506.333343505859 60936.5 1
"108" 2710 10.4512214660645 32.46240234375 1 NA 82205.5 1
"109" 2931 2.54109740257263 31.1789360046387 1 2072.5 3916 1
"110" 2651 45.5250663757324 6.82864475250244 4 667.25 2041397 1
"111" 2651 NA 0 NA NA NA NA
"112" 2666 2.57558035850525 17.7022342681885 1 230.75 24389 1
"113" 2414 5.33706188201904 46.1520195007324 1 289 75447.5 1
"114" 2613 7.12810707092285 24.3687915802002 1 389 31718.5 1
"115" 5153 NA 0 NA NA NA NA
"116" 2710 NA 0 NA NA NA NA
"117" 2710 10.5417013168335 32.3804397583008 3 1990 387295.5 1
"118" 3420 0.126082703471184 10.3771533966064 0.247058808803558 NA 10426.8701171875 0.5
"119" 3410 0.531498849391937 28.9380359649658 0.752941191196442 NA 31777.130859375 0.5
"120" 2640 9.80650615692139 2.78225445747375 1 42 32027 1
"121" 2615 2.3183925151825 48.9921379089355 1 323.25 26150 1
"122" 2743 7.52987909317017 26.6027050018311 3 6778.25 220506.5 1
"123" 2952 0.255724638700485 63.0051116943359 1 4184.25 39834.5 1
"124" 2442 0.409466415643692 58.5970039367676 1 152.75 14993.5 1
"125" 3430 0.53035831451416 24.7582950592041 1 927 2848 1
"126" 2611 8.09134292602539 20.9036235809326 1 609.25 177899 1
"127" 2020 3.6898365020752 23.5310440063477 1 314.5 16108.5 1
"128" 1551 1.26966571807861 7.67438888549805 1 634 28633.5 1
"129" 2742 14.1115846633911 35.9621658325195 1 1506.25 26438 1
"130" 2415 70.1120758056641 27.3678874969482 1 359.5 252773.5 1
"131" 2416 2.98783230781555 27.0831871032715 1 272.5 31607.5 1
"132" 2744 5.3589334487915 34.5844955444336 1 292 13517.5 1
"133" 2441 1.34146499633789 85.7830810546875 1 687.75 8379 1
"134" 2442 0.176755368709564 58.6059532165527 1 1665.75 10541.5 1
"135" 2521 1.37390172481537 20.4047393798828 1 687.5 62445.5 1
"136" 2470 4.27597332000732 32.8529472351074 1 212.5 58959 1
"137" 2522 2.01020193099976 14.0216379165649 1 669.25 12497 1
"138" 1597 5.9286208152771 30.9418926239014 0.800000011920929 NA 13641.6005859375 0.5
"139" 1562 7.14431762695312 14.3696260452271 0.200000002980232 NA 3410.40014648438 0.5
"140" 2640 9.66065120697021 2.90766787528992 1 17.75 5095 1
"141" 1597 5.88945960998535 30.9294242858887 1 42 28936 1
"142" 2640 9.82468032836914 2.61493515968323 1 17 6941 1
"143" 2442 0.381893247365952 58.6411170959473 2 4326 37984 1
"144" 2710 10.5958871841431 32.2886047363281 8 3083.75 3659370 1
"145" 2912 2.52643251419067 47.5352172851562 1 2632.5 2711 1
"146" 2464 1.24240970611572 65.4950332641602 1 3258.75 79189.5 1
"147" 3410 0.559572517871857 28.9283771514893 1 4381 1369 1
"148" 2414 5.42279291152954 46.2891731262207 1 435.75 438270.5 1
"149" 2320 11.7164440155029 16.0909633636475 1 204.5 492647 1
"150" 2320 11.5664644241333 16.1723041534424 1 1009.75 3687784.5 1
"151" 2414 5.41661596298218 46.291561126709 2 3464 1273352.5 1
"152" 2417 17.5062389373779 38.2301826477051 1 475 128432 1
"153" 3410 0.483264416456223 28.9318370819092 1 3509 23375.5 1
"154" 2665 2.49275398254395 7.78605937957764 1 457.75 352.5 1
"155" 3520 0.329315602779388 16.3497505187988 1 777 1099 1
"156" 2640 9.69305992126465 2.7096951007843 1 38.75 17201 1
"157" 1725 2.40430688858032 58.3663673400879 1 327 6500 1
"158" 2734 1.98163199424744 21.9668827056885 2 2726.5 34301.5 1
"159" 2020 3.70032787322998 23.7443885803223 3 927.75 35314 1
"160" 1751 0.742837309837341 31.2390785217285 1 535 5964 1
"161" 2020 3.59233069419861 23.8207702636719 1 139.5 1129.5 1
"162" 2954 2.54739379882812 71.6835861206055 1 2332 991.5 1
"163" 1542 2.35028672218323 19.3998699188232 3 305.75 120352.5 1
"164" 2615 2.38072037696838 49.179141998291 1 376.5 64875 1
"165" 2112 10.2550773620605 25.6240730285645 1 339.25 28918.5 1
"166" 1562 7.27242088317871 14.2977142333984 1 467 200565 1
"167" 2413 11.9211845397949 31.6495914459229 2 NA 146822.5 1
"168" 3530 0.308218896389008 79.7555313110352 1 991.75 1397 1
"169" 2420 1.64918541908264 40.9625053405762 1 1025.75 329285 1
