"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"1" 4 "not exempt" "Belgium" "Iron&Steel" 2752 1.87594401836395 NA 1
"2" 1 "B & CI<5" "Belgium" "Textile/Leather" 1751 0.828155279159546 31.2686729431152 1
"3" 1 "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.3014965057373 46.3884124755859 1
"4" 1 "C" "Belgium" "Wood&Paper" 2112 10.2556114196777 25.8366622924805 1
"5" 3 "B & CI<5" "Belgium" "Machinery&Optics" 2931 2.54109740257263 31.1789360046387 0
"6" 5 "A" "Belgium" "Cement" 2651 45.5250663757324 6.82864475250244 1
"7" 1 "not exempt" "Belgium" "Food/Tobacco" 1561 1.45113456249237 8.01725387573242 0
"8" 1 "not exempt" "Belgium" "Cement" 2666 2.57558035850525 17.7022342681885 1
"9" 1 "not exempt" "Belgium" "Iron&Steel" 2754 2.55636382102966 NA 0
"10" 1 "B & CI<5" "Belgium" "Textile/Leather" 1717 2.4937629699707 40.3621673583984 0
"11" 3 NA "Belgium" "Wholesale" 5153 NA NA 1
"12" NA "B & CI>5" "Belgium" "Iron&Steel" 2710 10.5417013168335 32.3804397583008 1
"13" 1 "not exempt" "Belgium" "Cement" 2640 9.80650615692139 2.78225445747375 1
"14" 1 "B & CI<5" "Belgium" "Glass" 2615 2.3183925151825 48.9921379089355 1
"15" 1 "not exempt" "Belgium" "Iron&Steel" 2753 2.34482979774475 NA 0
"16" 1 "C" "Belgium" "OtherBasicMetals" 2743 7.52987909317017 26.6027050018311 1
"17" 1 "B & CI<5" "Belgium" "Chemical&Plastic" 2442 0.348004698753357 58.4751815795898 0
"18" 2 "not exempt" "Belgium" "Vehicles" 3430 0.523104906082153 24.8889274597168 0
"19" 4 "not exempt" "Belgium" "Wood&Paper" 2020 3.6898365020752 23.5310440063477 1
"20" 1 "B & CI<5" "Belgium" "Machinery&Optics" 3162 0.213744580745697 44.7705078125 0
"21" 4 "A" "Belgium" "Chemical&Plastic" 2415 70.1120758056641 27.3678874969482 1
"22" 1 "B & CI>5" "Belgium" "OtherBasicMetals" 2744 5.3589334487915 34.5844955444336 1
"23" 2 "B & CI<5" "Belgium" "Chemical&Plastic" 2441 1.34146499633789 85.7830810546875 1
"24" 3 "not exempt" "Belgium" "Chemical&Plastic" 2521 1.37390172481537 20.4047393798828 1
"25" 1 "B & CI<5" "Belgium" "Chemical&Plastic" 2470 4.27597332000732 32.8529472351074 1
"26" 1 "not exempt" "Belgium" "Iron&Steel" 2751 17.3775424957275 NA 0
"27" 1 "not exempt" "Belgium" "Cement" 2640 9.82468032836914 2.61493515968323 1
"28" 1 "B & CI<5" "Belgium" "Chemical&Plastic" 2442 0.381893247365952 58.6411170959473 1
"29" 2 "B & CI>5" "Belgium" "Iron&Steel" 2710 10.5958871841431 32.2886047363281 1
"30" 1 "B & CI<5" "Belgium" "Machinery&Optics" 2912 2.52643251419067 47.5352172851562 0
"31" 1 "not exempt" "Belgium" "Vehicles" 3410 0.559572517871857 28.9283771514893 0
"32" 1 "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.42279291152954 46.2891731262207 1
"33" 3 "C" "Belgium" "Fuels" 2320 11.7164440155029 16.0909633636475 1
"34" 1 "C" "Belgium" "Fuels" 2320 11.5664644241333 16.1723041534424 1
